ds,yhat,yhat_lower,yhat_upper
2024-12-25,215.4496849468567,191.32160852877539,239.88323917562238
2024-12-26,215.55044416151074,190.60378286290273,237.84722293607442
2024-12-27,215.10947912167006,192.017397159961,237.5359482216959
2024-12-28,215.21930748635916,191.61692531225842,238.50886242663768
2024-12-29,215.47819302664465,191.41441821966043,238.6413959534701
2024-12-30,215.13926272147873,192.58895945154453,238.0554122956877
2024-12-31,212.5462489449381,187.62673318879433,234.50102743344425
2025-01-01,212.9967590037919,188.3527296771651,237.6955998230845
2025-01-02,213.07268429338126,188.34024979257245,236.3910894940528
2025-01-03,212.60688532848127,189.60588966445638,235.9497309976893
2025-01-04,212.6918797681032,188.49585478151337,237.45193392686528
2025-01-05,212.9259313833304,188.32631042351602,237.11854982073834
2025-01-06,212.58700107816233,186.78320346922752,235.5369982048173
2025-01-07,209.9939873016224,186.16164155646092,234.65839150919618
2025-01-08,210.44449736047227,187.1396527252984,233.11021515108482
2025-01-09,210.520422650065,186.5352189991263,233.33849710932898
2025-01-10,210.05462368516712,185.15982843348743,234.46071837329038
2025-01-11,209.97361861733117,185.2984002867518,231.75405809786415
2025-01-12,210.04167072510432,186.78321747541415,233.00001021067672
2025-01-13,209.5367409124796,185.53745492826408,234.34924263098074
2025-01-14,206.77772762848497,184.68284289869166,232.02444595510383
2025-01-15,207.06223817988126,181.84473695755355,233.80436597989396
2025-01-16,206.97216396201696,183.3848448672731,231.53337567173912
2025-01-17,206.34036548966216,181.49447077769295,229.15653098018896
2025-01-18,206.25936042183548,183.037549601635,229.22126487721386
2025-01-19,206.3274125296029,181.76301550468577,230.84657599154414
2025-01-20,205.82248271698347,180.83945172136228,227.93280721134383
2025-01-21,203.06346943298232,176.44684125464815,226.04775559322968
2025-01-22,203.34797998438188,180.11308599324414,226.02536089957505
2025-01-23,202.7916526699201,177.47952189406803,226.97670126367063
2025-01-24,201.6936011009701,178.48909340300042,227.11801818818
2025-01-25,201.14634293654052,176.87534271258312,227.1136361088814
2025-01-26,200.74814194771682,177.3759504495381,225.06470529871316
2025-01-27,199.77695903849968,178.1869073361699,222.45046311059818
2025-01-28,196.55169265790406,172.67366728983612,222.20932255319627
2025-01-29,196.3699501127059,173.13309142206316,217.2908325365188
2025-01-30,195.81362279824617,172.2568227228896,218.6476297288299
2025-01-31,194.71557122929607,170.6128168849281,217.00917796968616
2025-02-01,194.1683130648671,170.85573198176246,217.58374712607196
2025-02-02,193.77011207604366,170.50340914511725,217.99279100601007
2025-02-03,192.75457811648957,168.9562205718,215.79693909142716
2025-02-04,189.48496068556315,164.9671685212012,212.4008950760255
2025-02-05,189.25886709002617,167.2073547029578,215.22920970065198
2025-02-06,188.65818872523502,165.12088953525853,212.01618858627347
2025-02-07,187.51578610595158,163.9222799976009,210.7444616568302
2025-02-08,186.92417689118557,162.2133314432299,210.75223535055278
2025-02-09,186.48162485202744,162.25813985108206,209.93807564679528
2025-02-10,185.4660908924738,161.53061116860945,209.7145737341602
2025-02-11,182.1964734615486,159.3813945683836,205.2662425785676
2025-02-12,181.97037986601183,156.31125155099076,205.65095395531813
2025-02-13,181.36970150121869,157.6639404906911,205.48496164627468
2025-02-14,180.227298881936,157.06230791114146,204.23988211163018
2025-02-15,179.63568967624806,156.16857104522998,202.8934052840362
2025-02-16,179.19313764616874,155.88761562062024,203.825399466194
2025-02-17,178.17760369569285,154.41586423006277,202.522490680219
2025-02-18,174.90798627384584,151.36798976381593,199.1128464480542
2025-02-19,174.68189268739056,151.37474178894084,198.3111560930537
2025-02-20,174.08121433167673,150.52988089717738,198.11651192634537
2025-02-21,172.93881172146732,149.03134987401802,197.1066240060859
2025-02-22,172.3472025157849,147.65102790808558,195.7368812571803
2025-02-23,171.90465048570204,147.73818305430012,194.7574657888609
2025-02-24,170.8891165352246,144.8461691357868,196.01898682307566
2025-02-25,167.61949911337857,143.0690056032317,189.61575380043408
2025-02-26,167.3934055269259,143.76648729560074,190.99333821009455
2025-02-27,166.792727171266,144.34919223484385,190.9743424642451
2025-02-28,165.65032456111715,141.29855557297824,187.11574400325188
2025-03-01,165.0587153554933,140.50895925991114,187.36386010481513
2025-03-02,164.61616332547175,140.6014796438005,187.59927233824058
2025-03-03,163.60062937505728,138.48781299858436,187.41042596467813
2025-03-04,160.33101195326725,136.07758983400018,184.0276263943303
2025-03-05,160.10491836686882,136.20942546564686,180.70167008475178
2025-03-06,159.50424001121095,135.16956589782126,183.2227175160743
2025-03-07,158.36183740106313,134.84985101473444,182.52402881144948
2025-03-08,157.77022819543876,131.97707352257888,181.68166724324695
2025-03-09,157.32767616541747,133.20771710654049,180.22480425654814
2025-03-10,156.32622936489992,132.93899722564316,180.00824184309766
2025-03-11,153.07069909301092,129.1121434116,176.56694490004796
2025-03-12,152.8586926565151,129.3158982505082,176.25758096233807
2025-03-13,152.2721014507536,130.2316609501542,174.04272146862795
2025-03-14,151.14378599050656,127.43805354715228,176.24341271815013
2025-03-15,150.56626393478032,126.84615400870668,174.37480304688054
2025-03-16,150.13779905466043,127.31910085207058,173.41847945195622
2025-03-17,149.13635225414384,125.68466442748412,170.93410882520172
2025-03-18,145.88082198225428,122.47270959063249,168.92619615304702
2025-03-19,145.66881554575994,122.06253540270183,169.69712396602225
2025-03-20,145.08222434000004,121.01344881700388,168.12297768493727
2025-03-21,143.95390887975276,120.5363570294521,166.67783456391638
2025-03-22,143.79562480800678,121.1199390576708,166.97373491443742
2025-03-23,143.78639791186794,121.6680307821427,167.23091400794232
2025-03-24,143.2041890953289,121.5184151947683,166.68010507287454
2025-03-25,140.36789680742112,116.69675893217345,163.55743810111665
2025-03-26,140.57512835490425,116.2459886835371,164.66519382280285
2025-03-27,140.4077751331296,118.11860784923802,164.91128945649632
2025-03-28,139.6986976568589,114.2648982803386,161.88882476659845
2025-03-29,139.54041358511532,115.09345987888375,163.84943932016313
2025-03-30,139.53118668897756,117.07833675091032,162.9896768575842
